rowid,modelname,imagefilename,classid,classtext,value,inference,modelrun,processed_flag,storeid,storename,s3path_actual_file,s3path_annotated_file
43,gpt_activation,IMG-MNOSZOZ8-I75V.jpg,1087,MT Rack Display,Y,0.85,2026-05-12 12:19:42.475440,N,2260210137,NEW PYAKUREL STORES,april_store_images/IMG-MNOSZOZ8-I75V.jpg,ModelResults/VisibleItem_273/IMG-MNOSZOZ8-I75V.jpg
44,gpt_activation,IMG-MNOSZOZ8-I75V.jpg,1019,Poster,N,1.0,2026-05-12 12:19:42.475440,N,2260210137,NEW PYAKUREL STORES,april_store_images/IMG-MNOSZOZ8-I75V.jpg,ModelResults/VisibleItem_273/IMG-MNOSZOZ8-I75V.jpg
45,gpt_activation,IMG-MNOSZOZ8-I75V.jpg,1053,DPS,N,1.0,2026-05-12 12:19:42.475440,N,2260210137,NEW PYAKUREL STORES,april_store_images/IMG-MNOSZOZ8-I75V.jpg,ModelResults/VisibleItem_273/IMG-MNOSZOZ8-I75V.jpg
46,gpt_activation,IMG-MNOSZOZ8-I75V.jpg,1063,Wobbler,N,1.0,2026-05-12 12:19:42.475440,N,2260210137,NEW PYAKUREL STORES,april_store_images/IMG-MNOSZOZ8-I75V.jpg,ModelResults/VisibleItem_273/IMG-MNOSZOZ8-I75V.jpg
47,gpt_activation,IMG-MNOSZOZ8-I75V.jpg,1027,Table Sticker,N,1.0,2026-05-12 12:19:42.475440,N,2260210137,NEW PYAKUREL STORES,april_store_images/IMG-MNOSZOZ8-I75V.jpg,ModelResults/VisibleItem_273/IMG-MNOSZOZ8-I75V.jpg
48,gpt_activation,IMG-MNOSZOZ8-I75V.jpg,1081,Ceiling Pillar Branding,N,1.0,2026-05-12 12:19:42.475440,N,2260210137,NEW PYAKUREL STORES,april_store_images/IMG-MNOSZOZ8-I75V.jpg,ModelResults/VisibleItem_273/IMG-MNOSZOZ8-I75V.jpg
49,yolo_activation,IMG-MNJ4MW17-MRHD.jpg,1064,Shelf Display,Y,1.0,2026-05-12 12:19:56.495359,N,3110110534,MAJHARI BHOJANALAYA & MISTHAN,april_store_images/IMG-MNJ4MW17-MRHD.jpg,ModelResults/VisibleItem_273/IMG-MNJ4MW17-MRHD.jpg
50,yolo_activation,IMG-MNJ4MW17-MRHD.jpg,1085,Front Window Branding,Y,1.0,2026-05-12 12:19:56.495359,N,3110110534,MAJHARI BHOJANALAYA & MISTHAN,april_store_images/IMG-MNJ4MW17-MRHD.jpg,ModelResults/VisibleItem_273/IMG-MNJ4MW17-MRHD.jpg
51,yolo_activation,IMG-MNOSR4T5-9OAZ.jpg,1022,Combo Board,Y,1.0,2026-05-12 12:19:57.820533,N,3220110835,NEW GULMELI RESTURENT,april_store_images/IMG-MNOSR4T5-9OAZ.jpg,ModelResults/VisibleItem_273/IMG-MNOSR4T5-9OAZ.jpg
52,yolo_activation,IMG-MNOSR5B0-UROQ.jpg,1040,Pillar branding,Y,1.0,2026-05-12 12:19:58.597609,N,3220110835,NEW GULMELI RESTURENT,april_store_images/IMG-MNOSR5B0-UROQ.jpg,ModelResults/VisibleItem_273/IMG-MNOSR5B0-UROQ.jpg
53,yolo_activation,IMG-MNOSR5B0-UROQ.jpg,1075,PET Floor Stacking,Y,1.0,2026-05-12 12:19:58.597609,N,3220110835,NEW GULMELI RESTURENT,april_store_images/IMG-MNOSR5B0-UROQ.jpg,ModelResults/VisibleItem_273/IMG-MNOSR5B0-UROQ.jpg
54,yolo_activation,IMG-MNOSR5B0-UROQ.jpg,1019,Poster,Y,1.0,2026-05-12 12:19:58.597609,N,3220110835,NEW GULMELI RESTURENT,april_store_images/IMG-MNOSR5B0-UROQ.jpg,ModelResults/VisibleItem_273/IMG-MNOSR5B0-UROQ.jpg
55,gpt_activation,IMG-MNZTZL0K-T0GJ.jpg,1056,RGB Crate Stacking,Y,0.9,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZL0K-T0GJ.jpg,ModelResults/VisibleItem_273/IMG-MNZTZL0K-T0GJ.jpg
56,gpt_activation,IMG-MNZTZL0K-T0GJ.jpg,1096,cooler strips,Y,0.85,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZL0K-T0GJ.jpg,ModelResults/VisibleItem_273/IMG-MNZTZL0K-T0GJ.jpg
57,gpt_activation,IMG-MNZTZL0K-T0GJ.jpg,1019,Poster,N,1.0,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZL0K-T0GJ.jpg,ModelResults/VisibleItem_273/IMG-MNZTZL0K-T0GJ.jpg
58,gpt_activation,IMG-MNZTZL0K-T0GJ.jpg,1053,DPS,N,1.0,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZL0K-T0GJ.jpg,ModelResults/VisibleItem_273/IMG-MNZTZL0K-T0GJ.jpg
59,gpt_activation,IMG-MNZTZL0K-T0GJ.jpg,1063,Wobbler,N,1.0,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZL0K-T0GJ.jpg,ModelResults/VisibleItem_273/IMG-MNZTZL0K-T0GJ.jpg
60,gpt_activation,IMG-MNZTZL0K-T0GJ.jpg,1027,Table Sticker,N,1.0,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZL0K-T0GJ.jpg,ModelResults/VisibleItem_273/IMG-MNZTZL0K-T0GJ.jpg
61,gpt_activation,IMG-MNZTZL0K-T0GJ.jpg,1081,Ceiling Pillar Branding,N,1.0,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZL0K-T0GJ.jpg,ModelResults/VisibleItem_273/IMG-MNZTZL0K-T0GJ.jpg
62,gpt_activation,IMG-MNZTZLVL-0LZW.jpg,1019,Poster,N,1.0,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZLVL-0LZW.jpg,ModelResults/VisibleItem_273/IMG-MNZTZLVL-0LZW.jpg
63,gpt_activation,IMG-MNZTZLVL-0LZW.jpg,1053,DPS,N,1.0,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZLVL-0LZW.jpg,ModelResults/VisibleItem_273/IMG-MNZTZLVL-0LZW.jpg
64,gpt_activation,IMG-MNZTZLVL-0LZW.jpg,1063,Wobbler,N,1.0,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZLVL-0LZW.jpg,ModelResults/VisibleItem_273/IMG-MNZTZLVL-0LZW.jpg
65,gpt_activation,IMG-MNZTZLVL-0LZW.jpg,1027,Table Sticker,N,1.0,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZLVL-0LZW.jpg,ModelResults/VisibleItem_273/IMG-MNZTZLVL-0LZW.jpg
66,gpt_activation,IMG-MNZTZLVL-0LZW.jpg,1081,Ceiling Pillar Branding,N,1.0,2026-05-12 12:20:01.695189,N,5220310102,JYOTI HOTEL,april_store_images/IMG-MNZTZLVL-0LZW.jpg,ModelResults/VisibleItem_273/IMG-MNZTZLVL-0LZW.jpg
